2023-09-22 19:43:32.271 +07:00 [INF] Равносторонний (0; 0), (10; 0), (5; 7,071067)
2023-09-23 09:23:12.223 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.224 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.224 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.225 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.226 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.228 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.229 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.230 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.231 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.232 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.233 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.234 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.234 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.235 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.236 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.238 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.239 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.240 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.241 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.244 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.245 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.246 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.246 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.248 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.248 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.249 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.250 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.251 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.251 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.252 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.253 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.254 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.255 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.255 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.256 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.257 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.260 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.261 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.262 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.263 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.264 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.265 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.266 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.266 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.267 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.268 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.269 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.270 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.273 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.274 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.276 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.277 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.278 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.279 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.280 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.281 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.282 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.283 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.284 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.284 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.285 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.286 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.287 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.287 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.288 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.289 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.292 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.293 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.294 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.295 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.296 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.298 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.301 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.302 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.303 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.304 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.304 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.305 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.308 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.311 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.313 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.314 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.314 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.315 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.316 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.317 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.318 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.319 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.320 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.322 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.324 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.327 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.327 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.328 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.329 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.330 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.332 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.333 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.334 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.335 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.336 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.337 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.339 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.340 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.342 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.342 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.343 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.344 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.345 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.346 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.347 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.347 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.348 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.350 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.351 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.351 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.352 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.353 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.354 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.356 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.357 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.358 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.360 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.360 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.361 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.362 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.363 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.364 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.364 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.365 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.366 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.369 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.371 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.372 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.374 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.375 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.376 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.378 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.379 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.379 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.380 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.381 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.382 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.383 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.384 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.385 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.388 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.390 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.391 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.391 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.392 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.393 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.395 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.396 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.397 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.398 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.398 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.399 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.400 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.402 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.404 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.406 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.407 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.408 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.410 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.411 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.412 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.413 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.415 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.416 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.417 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.420 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.421 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.422 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.423 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.425 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.426 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.427 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.428 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.430 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.431 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.432 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.434 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.435 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.438 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.440 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.440 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.442 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.443 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.444 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.444 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.445 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.445 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.447 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.448 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.450 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.452 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.453 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.455 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.455 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.456 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.457 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.458 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.459 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.460 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.460 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.461 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.462 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.463 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.466 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.467 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.469 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.470 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.471 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.472 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.473 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.475 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.475 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.477 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.478 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.478 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.479 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.482 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
